"","s","e","temp"
"314",1126800,1130400,3.766721129
"315",1130400,1134000,3.760612433
"316",1134000,1137600,3.785972659
"317",1137600,1141200,3.840836017
"318",1141200,1144800,3.921228192
"319",1144800,1148400,4.021438176
"320",1148400,1152000,4.134408267
"321",1152000,1155600,4.252215571
"322",1155600,1159200,4.366612189
"323",1159200,1162800,4.469587239
"324",1162800,1166400,4.553912434
"325",1166400,1170000,4.61363406
"326",1170000,1173600,4.64447786
"327",1173600,1177200,4.644139318
"328",1177200,1180800,4.612439594
"329",1180800,1184400,4.551336602
"330",1184400,1188000,4.464790509
"331",1188000,1191600,4.35849293
"332",1191600,1195200,4.239478316
"333",1195200,1198800,4.115644063
"334",1198800,1202400,3.995212095
"335",1202400,1206000,3.886168609
"336",1206000,1209600,3.795720163
"337",1209600,1213200,3.729803145
"338",1213200,1216800,3.69268001
"339",1216800,1220400,3.68664975
"340",1220400,1224000,3.711892249
"341",1224000,1227600,3.766457069
"342",1227600,1231200,3.84639736
"343",1231200,1234800,3.946039699
"344",1234800,1238400,4.058371404
"345",1238400,1242000,4.1755189
"346",1242000,1245600,4.289284493
"347",1245600,1249200,4.391704977
"348",1249200,1252800,4.475593989
"349",1252800,1256400,4.535031207
"350",1256400,1260000,4.565765063
"351",1260000,1263600,4.565501604
"352",1263600,1267200,4.534059863
"353",1267200,1270800,4.473383217
"354",1270800,1274400,4.387406041
"355",1274400,1278000,4.281784782
"356",1278000,1281600,4.163511856
"357",1281600,1285200,4.040438704
"358",1285200,1288800,3.920740545
"359",1288800,1292400,3.812359311
"360",1292400,1296000,3.722462713
"361",1296000,1299600,3.656956289
"362",1299600,1303200,3.620081637
"363",1303200,1306800,3.614128177
"364",1306800,1310400,3.639278014
"365",1310400,1314000,3.693594422
"366",1314000,1317600,3.773154672
"367",1317600,1321200,3.87231809
"368",1321200,1324800,3.984111037
"369",1324800,1328400,4.100702529
"370",1328400,1332000,4.213938073
"371",1332000,1335600,4.315895314
"372",1335600,1339200,4.399423654
"373",1339200,1342800,4.458631076
"374",1342800,1346400,4.489285039
"375",1346400,1350000,4.489100165
"376",1350000,1353600,4.457893176
"377",1353600,1357200,4.397594561
"378",1357200,1360800,4.312116251
"379",1360800,1364400,4.207084359
"380",1364400,1368000,4.089455255
"381",1368000,1371600,3.967041153
"382",1371600,1375200,3.847977587
"383",1375200,1378800,3.740169046
"384",1378800,1382400,3.650750566
"385",1382400,1386000,3.585601922
"386",1386000,1389600,3.548947522
"387",1389600,1393200,3.543069204
"388",1393200,1396800,3.568151472
"389",1396800,1400400,3.622269669
"390",1400400,1404000,3.701521829
"391",1404000,1407600,3.800295192
"392",1407600,1411200,3.911649168
"393",1411200,1414800,4.02778863
"394",1414800,1418400,4.140595256
"395",1418400,1422000,4.242180716
"396",1422000,1425600,4.325424001
"397",1425600,1429200,4.384456307
"398",1429200,1432800,4.41506045
"399",1432800,1436400,4.414957639
"400",1436400,1440000,4.383962105
"401",1440000,1443600,4.323993093
"402",1443600,1447200,4.238943449
"403",1447200,1450800,4.134413798
"404",1450800,1454400,4.017330457
"405",1454400,1458000,3.895473159
"406",1458000,1461600,3.77694478
"407",1461600,1465200,3.669619206
"408",1465200,1468800,3.580604971
"409",1468800,1472400,3.515761189
"410",1472400,1476000,3.479298745
"411",1476000,1479600,3.473493887
"412",1479600,1483200,3.4985337
"413",1483200,1486800,3.552503944
"414",1486800,1490400,3.631520058
"415",1490400,1494000,3.729992348
"416",1494000,1497600,3.841007272
"417",1497600,1501200,3.956798808
"418",1501200,1504800,4.069277775
"419",1504800,1508400,4.170583024
"420",1508400,1512000,4.253616956
"421",1512000,1515600,4.312528878
"422",1515600,1519200,4.343113291
"423",1519200,1522800,4.343095996
"424",1522800,1526400,4.312288556
"425",1526400,1530000,4.252600621
"426",1530000,1533600,4.167909319
"427",1533600,1537200,4.063794631
"428",1537200,1540800,3.947158833
"429",1540800,1544400,3.825755929
"430",1544400,1548000,3.707663174
"431",1548000,1551600,3.600730696
"432",1551600,1555200,3.512046715
"433",1555200,1558800,3.447454784
"434",1558800,1562400,3.411155942
"435",1562400,1566000,3.405422842
